json_file,audio_value,basename,exists_on_disk
ADHD Support_Free.json,"adhd_support_free_time_management.mp3","adhd_support_free_time_management.mp3",NO
ADHD Support_Free.json,"adhd_support_free_focus_strategies.mp3","adhd_support_free_focus_strategies.mp3",NO
ADHD Support_Free.json,"adhd_support_free_support_system.mp3","adhd_support_free_support_system.mp3",NO
ADHD Support_VIP1.json,"adhd_support_vip1_time_management.mp3","adhd_support_vip1_time_management.mp3",NO
ADHD Support_VIP1.json,"adhd_support_vip1_focus_strategies.mp3","adhd_support_vip1_focus_strategies.mp3",NO
ADHD Support_VIP1.json,"adhd_support_vip1_support_system.mp3","adhd_support_vip1_support_system.mp3",NO
ADHD Support_VIP1.json,"adhd_support_vip1_emotional_regulation.mp3","adhd_support_vip1_emotional_regulation.mp3",NO
ADHD Support_VIP2.json,"adhd_support_vip2_time_management.mp3","adhd_support_vip2_time_management.mp3",NO
ADHD Support_VIP2.json,"adhd_support_vip2_focus_strategies.mp3","adhd_support_vip2_focus_strategies.mp3",NO
ADHD Support_VIP2.json,"adhd_support_vip2_support_system.mp3","adhd_support_vip2_support_system.mp3",NO
ADHD Support_VIP2.json,"adhd_support_vip2_emotional_regulation.mp3","adhd_support_vip2_emotional_regulation.mp3",NO
ADHD Support_VIP2.json,"adhd_support_vip2_organization.mp3","adhd_support_vip2_organization.mp3",NO
ADHD Support_VIP3.json,"adhd_support_vip3_time_management.mp3","adhd_support_vip3_time_management.mp3",NO
ADHD Support_VIP3.json,"adhd_support_vip3_focus_strategies.mp3","adhd_support_vip3_focus_strategies.mp3",NO
ADHD Support_VIP3.json,"adhd_support_vip3_support_system.mp3","adhd_support_vip3_support_system.mp3",NO
ADHD Support_VIP3.json,"adhd_support_vip3_emotional_regulation.mp3","adhd_support_vip3_emotional_regulation.mp3",NO
ADHD Support_VIP3.json,"adhd_support_vip3_organization.mp3","adhd_support_vip3_organization.mp3",NO
ADHD Support_VIP3.json,"adhd_support_vip3_resilience.mp3","adhd_support_vip3_resilience.mp3",NO
AI_VIP1.json,"01_fine_tuning.mp3","01_fine_tuning.mp3",NO
AI_VIP1.json,"02_lora_adaptation.mp3","02_lora_adaptation.mp3",NO
AI_VIP1.json,"03_rlhf.mp3","03_rlhf.mp3",NO
AI_VIP1.json,"04_dpo.mp3","04_dpo.mp3",NO
AI_VIP1.json,"05_multimodal_ai.mp3","05_multimodal_ai.mp3",NO
AI_VIP1.json,"06_graph_rag.mp3","06_graph_rag.mp3",NO
AI_VIP2.json,"01_knowledge_distillation.mp3","01_knowledge_distillation.mp3",NO
AI_VIP2.json,"02_attention_mechanisms.mp3","02_attention_mechanisms.mp3",NO
AI_VIP2.json,"03_mixture_of_experts.mp3","03_mixture_of_experts.mp3",NO
AI_VIP2.json,"04_adversarial_training.mp3","04_adversarial_training.mp3",NO
AI_VIP2.json,"05_hyperparameter_tuning.mp3","05_hyperparameter_tuning.mp3",NO
AI_VIP2.json,"06_ethical_ai_frameworks.mp3","06_ethical_ai_frameworks.mp3",NO
AI_VIP3.json,"01_vae_encoding.mp3","01_vae_encoding.mp3",NO
AI_VIP3.json,"02_nas_automation.mp3","02_nas_automation.mp3",NO
AI_VIP3.json,"03_chain_of_thought.mp3","03_chain_of_thought.mp3",NO
AI_VIP3.json,"04_federated_learning.mp3","04_federated_learning.mp3",NO
AI_VIP3.json,"05_neuroevolution.mp3","05_neuroevolution.mp3",NO
AI_VIP3.json,"06_ai_for_science.mp3","06_ai_for_science.mp3",NO
AI_free.json,"01_compressing_models.mp3","01_compressing_models.mp3",NO
AI_free.json,"02_decoding_black_box.mp3","02_decoding_black_box.mp3",NO
AI_free.json,"03_safeguarding_data.mp3","03_safeguarding_data.mp3",NO
AI_free.json,"04_few_shot_adaptation.mp3","04_few_shot_adaptation.mp3",NO
AI_free.json,"05_crafting_prompts.mp3","05_crafting_prompts.mp3",NO
AI_free.json,"06_ethical_ai_use.mp3","06_ethical_ai_use.mp3",NO
Addiction Support_Free.json,"addiction_support_free_recovery.mp3","addiction_support_free_recovery.mp3",NO
Addiction Support_Free.json,"addiction_support_free_therapy.mp3","addiction_support_free_therapy.mp3",NO
Addiction Support_Free.json,"addiction_support_free_support_system.mp3","addiction_support_free_support_system.mp3",NO
Addiction Support_VIP1.json,"addiction_support_vip1_recovery.mp3","addiction_support_vip1_recovery.mp3",NO
Addiction Support_VIP1.json,"addiction_support_vip1_cbt.mp3","addiction_support_vip1_cbt.mp3",NO
Addiction Support_VIP1.json,"addiction_support_vip1_support_system.mp3","addiction_support_vip1_support_system.mp3",NO
Addiction Support_VIP1.json,"addiction_support_vip1_relapse_prevention.mp3","addiction_support_vip1_relapse_prevention.mp3",NO
Addiction Support_VIP2.json,"addiction_support_vip2_recovery.mp3","addiction_support_vip2_recovery.mp3",NO
Addiction Support_VIP2.json,"addiction_support_vip2_cbt.mp3","addiction_support_vip2_cbt.mp3",NO
Addiction Support_VIP2.json,"addiction_support_vip2_support_system.mp3","addiction_support_vip2_support_system.mp3",NO
Addiction Support_VIP2.json,"addiction_support_vip2_relapse_prevention.mp3","addiction_support_vip2_relapse_prevention.mp3",NO
Addiction Support_VIP2.json,"addiction_support_vip2_motivation.mp3","addiction_support_vip2_motivation.mp3",NO
Addiction Support_VIP3.json,"addiction_support_vip3_recovery.mp3","addiction_support_vip3_recovery.mp3",NO
Addiction Support_VIP3.json,"addiction_support_vip3_cbt.mp3","addiction_support_vip3_cbt.mp3",NO
Addiction Support_VIP3.json,"addiction_support_vip3_support_system.mp3","addiction_support_vip3_support_system.mp3",NO
Addiction Support_VIP3.json,"addiction_support_vip3_relapse_prevention.mp3","addiction_support_vip3_relapse_prevention.mp3",NO
Addiction Support_VIP3.json,"addiction_support_vip3_motivation.mp3","addiction_support_vip3_motivation.mp3",NO
Addiction Support_VIP3.json,"addiction_support_vip3_resilience.mp3","addiction_support_vip3_resilience.mp3",NO
Anxiety_Relief_Free.json,"rooms/anxiety-relief-free-breathing.mp3","anxiety-relief-free-breathing.mp3",NO
Anxiety_Relief_Free.json,"rooms/anxiety-relief-free-grounding.mp3","anxiety-relief-free-grounding.mp3",NO
Bipolar Support_Free.json,"bipolar_support_free_mood_management.mp3","bipolar_support_free_mood_management.mp3",NO
Bipolar Support_Free.json,"bipolar_support_free_therapy.mp3","bipolar_support_free_therapy.mp3",NO
Bipolar Support_Free.json,"bipolar_support_free_support_system.mp3","bipolar_support_free_support_system.mp3",NO
Bipolar Support_VIP1.json,"bipolar_support_vip1_mood_management.mp3","bipolar_support_vip1_mood_management.mp3",NO
Bipolar Support_VIP1.json,"bipolar_support_vip1_cbt.mp3","bipolar_support_vip1_cbt.mp3",NO
Bipolar Support_VIP1.json,"bipolar_support_vip1_support_system.mp3","bipolar_support_vip1_support_system.mp3",NO
Bipolar Support_VIP1.json,"bipolar_support_vip1_lifestyle_balance.mp3","bipolar_support_vip1_lifestyle_balance.mp3",NO
Bipolar Support_VIP2.json,"bipolar_support_vip2_mood_management.mp3","bipolar_support_vip2_mood_management.mp3",NO
Bipolar Support_VIP2.json,"bipolar_support_vip2_cbt.mp3","bipolar_support_vip2_cbt.mp3",NO
Bipolar Support_VIP2.json,"bipolar_support_vip2_support_system.mp3","bipolar_support_vip2_support_system.mp3",NO
Bipolar Support_VIP2.json,"bipolar_support_vip2_lifestyle_balance.mp3","bipolar_support_vip2_lifestyle_balance.mp3",NO
Bipolar Support_VIP2.json,"bipolar_support_vip2_mindfulness.mp3","bipolar_support_vip2_mindfulness.mp3",NO
Bipolar Support_VIP3.json,"bipolar_support_vip3_mood_management.mp3","bipolar_support_vip3_mood_management.mp3",NO
Bipolar Support_VIP3.json,"bipolar_support_vip3_cbt.mp3","bipolar_support_vip3_cbt.mp3",NO
Bipolar Support_VIP3.json,"bipolar_support_vip3_support_system.mp3","bipolar_support_vip3_support_system.mp3",NO
Bipolar Support_VIP3.json,"bipolar_support_vip3_lifestyle_balance.mp3","bipolar_support_vip3_lifestyle_balance.mp3",NO
Bipolar Support_VIP3.json,"bipolar_support_vip3_mindfulness.mp3","bipolar_support_vip3_mindfulness.mp3",NO
Bipolar Support_VIP3.json,"bipolar_support_vip3_resilience.mp3","bipolar_support_vip3_resilience.mp3",NO
Chronic Pain_Free.json,"chronic_pain_free_pain_management.mp3","chronic_pain_free_pain_management.mp3",NO
Chronic Pain_Free.json,"chronic_pain_free_physical_therapy.mp3","chronic_pain_free_physical_therapy.mp3",NO
Chronic Pain_Free.json,"chronic_pain_free_emotional_coping.mp3","chronic_pain_free_emotional_coping.mp3",NO
Chronic Pain_VIP1.json,"chronic_pain_vip1_pain_management.mp3","chronic_pain_vip1_pain_management.mp3",NO
Chronic Pain_VIP1.json,"chronic_pain_vip1_physical_therapy.mp3","chronic_pain_vip1_physical_therapy.mp3",NO
Chronic Pain_VIP1.json,"chronic_pain_vip1_emotional_coping.mp3","chronic_pain_vip1_emotional_coping.mp3",NO
Chronic Pain_VIP1.json,"chronic_pain_vip1_support_system.mp3","chronic_pain_vip1_support_system.mp3",NO
Chronic Pain_VIP2.json,"chronic_pain_vip2_pain_management.mp3","chronic_pain_vip2_pain_management.mp3",NO
Chronic Pain_VIP2.json,"chronic_pain_vip2_physical_therapy.mp3","chronic_pain_vip2_physical_therapy.mp3",NO
Chronic Pain_VIP2.json,"chronic_pain_vip2_emotional_coping.mp3","chronic_pain_vip2_emotional_coping.mp3",NO
Chronic Pain_VIP2.json,"chronic_pain_vip2_support_system.mp3","chronic_pain_vip2_support_system.mp3",NO
Chronic Pain_VIP2.json,"chronic_pain_vip2_mindfulness.mp3","chronic_pain_vip2_mindfulness.mp3",NO
Chronic Pain_VIP3.json,"chronic_pain_vip3_pain_management.mp3","chronic_pain_vip3_pain_management.mp3",NO
Chronic Pain_VIP3.json,"chronic_pain_vip3_physical_therapy.mp3","chronic_pain_vip3_physical_therapy.mp3",NO
Chronic Pain_VIP3.json,"chronic_pain_vip3_emotional_coping.mp3","chronic_pain_vip3_emotional_coping.mp3",NO
Chronic Pain_VIP3.json,"chronic_pain_vip3_support_system.mp3","chronic_pain_vip3_support_system.mp3",NO
Chronic Pain_VIP3.json,"chronic_pain_vip3_mindfulness.mp3","chronic_pain_vip3_mindfulness.mp3",NO
Chronic Pain_VIP3.json,"chronic_pain_vip3_resilience.mp3","chronic_pain_vip3_resilience.mp3",NO
Eating Disorder Support_Free.json,"eating-disorder-support_free_recovery.mp3","eating-disorder-support_free_recovery.mp3",NO
Eating Disorder Support_Free.json,"eating-disorder-support_free_cbt-e.mp3","eating-disorder-support_free_cbt-e.mp3",NO
Eating Disorder Support_Free.json,"eating-disorder-support_free_support-system.mp3","eating-disorder-support_free_support-system.mp3",NO
Eating Disorder Support_VIP1.json,"eating-disorder-support_vip1_recovery.mp3","eating-disorder-support_vip1_recovery.mp3",NO
Eating Disorder Support_VIP1.json,"eating-disorder-support_vip1_cbt-e.mp3","eating-disorder-support_vip1_cbt-e.mp3",NO
Eating Disorder Support_VIP1.json,"eating-disorder-support_vip1_family-support.mp3","eating-disorder-support_vip1_family-support.mp3",NO
Eating Disorder Support_VIP1.json,"eating-disorder-support_vip1_nutritional-therapy.mp3","eating-disorder-support_vip1_nutritional-therapy.mp3",NO
Eating Disorder Support_VIP2.json,"eating-disorder-support_vip2_recovery.mp3","eating-disorder-support_vip2_recovery.mp3",NO
Eating Disorder Support_VIP2.json,"eating-disorder-support_vip2_cbt-e.mp3","eating-disorder-support_vip2_cbt-e.mp3",NO
Eating Disorder Support_VIP2.json,"eating-disorder-support_vip2_family-support.mp3","eating-disorder-support_vip2_family-support.mp3",NO
Eating Disorder Support_VIP2.json,"eating-disorder-support_vip2_nutritional-therapy.mp3","eating-disorder-support_vip2_nutritional-therapy.mp3",NO
Eating Disorder Support_VIP2.json,"eating-disorder-support_vip2_body-positivity.mp3","eating-disorder-support_vip2_body-positivity.mp3",NO
Eating Disorder Support_VIP3.json,"eating_disorder_support_vip3_recovery.mp3","eating_disorder_support_vip3_recovery.mp3",NO
Eating Disorder Support_VIP3.json,"eating_disorder_support_vip3_cbt_e.mp3","eating_disorder_support_vip3_cbt_e.mp3",NO
Eating Disorder Support_VIP3.json,"eating_disorder_support_vip3_family_support.mp3","eating_disorder_support_vip3_family_support.mp3",NO
Eating Disorder Support_VIP3.json,"eating_disorder_support_vip3_nutritional_therapy.mp3","eating_disorder_support_vip3_nutritional_therapy.mp3",NO
Eating Disorder Support_VIP3.json,"eating_disorder_support_vip3_body_positivity.mp3","eating_disorder_support_vip3_body_positivity.mp3",NO
Eating Disorder Support_VIP3.json,"eating_disorder_support_vip3_emotional_resilience.mp3","eating_disorder_support_vip3_emotional_resilience.mp3",NO
God With Us_Free.json,"01_praying_daily.mp3","01_praying_daily.mp3",NO
God With Us_Free.json,"02_faith_groups.mp3","02_faith_groups.mp3",NO
God With Us_Free.json,"03_divine_wisdom.mp3","03_divine_wisdom.mp3",NO
God With Us_Free.json,"04_meditating_peace.mp3","04_meditating_peace.mp3",NO
God With Us_Free.json,"05_reading_holy_texts.mp3","05_reading_holy_texts.mp3",NO
God With Us_Free.json,"06_writing_thoughts.mp3","06_writing_thoughts.mp3",NO
God With Us_VIP1.json,"01_praying_inner.mp3","01_praying_inner.mp3",NO
God With Us_VIP1.json,"02_spiritual_bonds.mp3","02_spiritual_bonds.mp3",NO
God With Us_VIP1.json,"03_divine_trust.mp3","03_divine_trust.mp3",NO
God With Us_VIP1.json,"04_meditation_guidance.mp3","04_meditation_guidance.mp3",NO
God With Us_VIP1.json,"05_scripture_study.mp3","05_scripture_study.mp3",NO
God With Us_VIP1.json,"06_journaling_insights.mp3","06_journaling_insights.mp3",NO
God With Us_VIP2.json,"01_resilient_prayer.mp3","01_resilient_prayer.mp3",NO
God With Us_VIP2.json,"02_sacred_connections.mp3","02_sacred_connections.mp3",NO
God With Us_VIP2.json,"03_divine_timing.mp3","03_divine_timing.mp3",NO
God With Us_VIP2.json,"04_meditation_clarity.mp3","04_meditation_clarity.mp3",NO
God With Us_VIP2.json,"05_scripture_insight.mp3","05_scripture_insight.mp3",NO
God With Us_VIP2.json,"06_faith_reflection.mp3","06_faith_reflection.mp3",NO
God With Us_VIP3.json,"01_divine_fortitude.mp3","01_divine_fortitude.mp3",NO
God With Us_VIP3.json,"02_transcendent_bonds.mp3","02_transcendent_bonds.mp3",NO
God With Us_VIP3.json,"03_cosmic_purpose.mp3","03_cosmic_purpose.mp3",NO
God With Us_VIP3.json,"04_celestial_meditation.mp3","04_celestial_meditation.mp3",NO
God With Us_VIP3.json,"05_divine_scripture.mp3","05_divine_scripture.mp3",NO
God With Us_VIP3.json,"06_eternal_plan.mp3","06_eternal_plan.mp3",NO
Human Right_VIP3.json,"/audio/en/Deepening_Human_Rights_Awareness_VIP3.mp3","Deepening_Human_Rights_Awareness_VIP3.mp3",NO
Human Right_VIP3.json,"/audio/en/Advocating_for_Justice_Actively_VIP3.mp3","Advocating_for_Justice_Actively_VIP3.mp3",NO
Human Right_VIP3.json,"/audio/en/Fostering_Equality_through_Solidarity_VIP3.mp3","Fostering_Equality_through_Solidarity_VIP3.mp3",NO
Mental Health_VIP1.json,"01_deep_breathing.mp3","01_deep_breathing.mp3",NO
Mental Health_VIP1.json,"02_positive_self_talk.mp3","02_positive_self_talk.mp3",NO
Mental Health_VIP1.json,"03_calm_walk.mp3","03_calm_walk.mp3",NO
Mental Health_VIP1.json,"04_mindful_pause.mp3","04_mindful_pause.mp3",NO
Mental SharpnessVIP3.json,"01_mental_exercises.mp3","01_mental_exercises.mp3",NO
Mental SharpnessVIP3.json,"02_improving_focus.mp3","02_improving_focus.mp3",NO
Mental SharpnessVIP3.json,"03_memory_enhancement.mp3","03_memory_enhancement.mp3",NO
Mindfulness_Free.json,"mindfulness_free_meditation.mp3","mindfulness_free_meditation.mp3",NO
Mindfulness_Free.json,"mindfulness_free_breathing_exercises.mp3","mindfulness_free_breathing_exercises.mp3",NO
Mindfulness_Free.json,"mindfulness_free_awareness.mp3","mindfulness_free_awareness.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_meditation.mp3","mindfulness_vip1_meditation.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_breathing_exercises.mp3","mindfulness_vip1_breathing_exercises.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_awareness.mp3","mindfulness_vip1_awareness.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_emotional_regulation.mp3","mindfulness_vip1_emotional_regulation.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_meditation.mp3","mindfulness_vip2_meditation.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_breathing_exercises.mp3","mindfulness_vip2_breathing_exercises.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_awareness.mp3","mindfulness_vip2_awareness.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_emotional_regulation.mp3","mindfulness_vip2_emotional_regulation.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_community_support.mp3","mindfulness_vip2_community_support.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_meditation.mp3","mindfulness_vip3_meditation.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_breathing_exercises.mp3","mindfulness_vip3_breathing_exercises.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_awareness.mp3","mindfulness_vip3_awareness.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_emotional_regulation.mp3","mindfulness_vip3_emotional_regulation.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_community_support.mp3","mindfulness_vip3_community_support.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_resilience.mp3","mindfulness_vip3_resilience.mp3",NO
OCD Support_Free.json,"ocd_support_free_erp_therapy.mp3","ocd_support_free_erp_therapy.mp3",NO
OCD Support_Free.json,"ocd_support_free_intrusive_thoughts.mp3","ocd_support_free_intrusive_thoughts.mp3",NO
OCD Support_Free.json,"ocd_support_free_support_system.mp3","ocd_support_free_support_system.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_erp_therapy.mp3","ocd_support_vip1_erp_therapy.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_intrusive_thoughts.mp3","ocd_support_vip1_intrusive_thoughts.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_support_system.mp3","ocd_support_vip1_support_system.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_mindfulness.mp3","ocd_support_vip1_mindfulness.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_erp_therapy.mp3","ocd_support_vip2_erp_therapy.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_intrusive_thoughts.mp3","ocd_support_vip2_intrusive_thoughts.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_support_system.mp3","ocd_support_vip2_support_system.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_mindfulness.mp3","ocd_support_vip2_mindfulness.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_coping_strategies.mp3","ocd_support_vip2_coping_strategies.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_erp_therapy.mp3","ocd_support_vip3_erp_therapy.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_intrusive_thoughts.mp3","ocd_support_vip3_intrusive_thoughts.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_support_system.mp3","ocd_support_vip3_support_system.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_mindfulness.mp3","ocd_support_vip3_mindfulness.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_coping_strategies.mp3","ocd_support_vip3_coping_strategies.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_resilience.mp3","ocd_support_vip3_resilience.mp3",NO
PTSD Support_Free.json,"ptsd_support_free_recovery.mp3","ptsd_support_free_recovery.mp3",NO
PTSD Support_Free.json,"ptsd_support_free_emdr_therapy.mp3","ptsd_support_free_emdr_therapy.mp3",NO
PTSD Support_Free.json,"ptsd_support_free_grounding_techniques.mp3","ptsd_support_free_grounding_techniques.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_recovery.mp3","ptsd_support_vip1_recovery.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_emdr_therapy.mp3","ptsd_support_vip1_emdr_therapy.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_grounding_techniques.mp3","ptsd_support_vip1_grounding_techniques.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_support_system.mp3","ptsd_support_vip1_support_system.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_recovery.mp3","ptsd_support_vip2_recovery.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_emdr_therapy.mp3","ptsd_support_vip2_emdr_therapy.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_grounding_techniques.mp3","ptsd_support_vip2_grounding_techniques.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_support_system.mp3","ptsd_support_vip2_support_system.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_mindfulness.mp3","ptsd_support_vip2_mindfulness.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_recovery.mp3","ptsd_support_vip3_recovery.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_emdr_therapy.mp3","ptsd_support_vip3_emdr_therapy.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_grounding_techniques.mp3","ptsd_support_vip3_grounding_techniques.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_support_system.mp3","ptsd_support_vip3_support_system.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_mindfulness.mp3","ptsd_support_vip3_mindfulness.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_resilience.mp3","ptsd_support_vip3_resilience.mp3",NO
Relationship Healing_Free.json,"relationship_healing_free_communication.mp3","relationship_healing_free_communication.mp3",NO
Relationship Healing_Free.json,"relationship_healing_free_trust_building.mp3","relationship_healing_free_trust_building.mp3",NO
Relationship Healing_Free.json,"relationship_healing_free_emotional_connection.mp3","relationship_healing_free_emotional_connection.mp3",NO
